parent;predicate;child;parentLabel;childLabel
http://data.europa.eu/esco/isco/C5112;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/9cee6106-04cf-401a-ae4c-b4b8652d6915;Conducteurs;hoofdconducteur
http://data.europa.eu/esco/isco/C5112;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/ea034d66-0d35-4891-b82c-6434cad2c76f;Conducteurs;treinconducteur
http://data.europa.eu/esco/isco/C5311;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/3413f234-6230-47a8-8cc7-2691fd54ce3a;Kinderverzorgers;kinderverzorgster
http://data.europa.eu/esco/isco/C4321;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/d7a9f9e0-e2f5-4804-a0e0-b21ebb1403ee;Administratief magazijnpersoneel;voorraadadministrateur
http://data.europa.eu/esco/isco/C3152;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/1ff5cf0d-e81f-4287-ba00-096816b16777;Dekofficieren en loodsen;loods
http://data.europa.eu/esco/isco/C3240;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/99ebf2c2-1811-4c77-b2e6-7008cba29ea0;Veterinair technici en dierenartsassistenten;veterinair technicus
http://data.europa.eu/esco/isco/C7215;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/8c778238-98a4-4fec-a828-a4e978fb7a64;Kraanmonteurs en kabellassers;tentenbouwer
http://data.europa.eu/esco/isco/C3359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/50609eb5-9957-4cbf-9b91-6f46ce49cfad;Vakspecialisten bij de overheid, niet elders geclassificeerd;ILT-inspecteur
http://data.europa.eu/esco/isco/C7522;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/e1416610-ad08-4f37-8b46-9f99632a5c0f;Meubelmakers e.d.;meubelmaker
http://data.europa.eu/esco/isco/C7522;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/6f8f1da1-9160-4b9f-ba30-e3396d3b2f92;Meubelmakers e.d.;maquettebouwer
http://data.europa.eu/esco/isco/C7522;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/501a3798-08bf-4475-88d2-0e8c9befb101;Meubelmakers e.d.;kuiper
http://data.europa.eu/esco/isco/C7522;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/59088d93-bd71-4fd7-a39e-8cc9dd37dfae;Meubelmakers e.d.;reproducent van antieke meubelen
http://data.europa.eu/esco/isco/C7522;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/fb6df00f-4810-442b-8f93-89b9580c7c9f;Meubelmakers e.d.;meubelafwerker
http://data.europa.eu/esco/isco/C7522;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/5a551d36-0e14-40ab-84a2-7aa9b37dc528;Meubelmakers e.d.;meubelrestaurateur
http://data.europa.eu/esco/isco/C5223;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/38395ab3-766c-4c6c-8d96-430eff19ec8d;Verkoopmedewerkers;medewerker autoleasebedrijf
http://data.europa.eu/esco/isco/C2310;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923;Professoren en andere onderwijsgevenden in het hoger onderwijs;docent hoger onderwijs
http://data.europa.eu/esco/isco/C3422;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/11695786-9fb7-4895-b161-0480419107e4;Trainers, oefenmeesters en sportfunctionarissen;sportinstructeur
http://data.europa.eu/esco/isco/C7512;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/35f62568-eb4e-4a09-9d83-ecc73116f94c;Bakkers en banketbakkers;chocolatier
http://data.europa.eu/esco/isco/C8311;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/81f6a814-1f4e-47d4-9c75-47977c7267ee;Treinmachinisten;treinmachinist
http://data.europa.eu/esco/isco/C3119;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/250d6493-68ab-4d69-ba67-c10293a20f49;Technici op het gebied van natuurkunde en ingenieurswetenschappen, niet elders geclassificeerd;technicus fotonica
http://data.europa.eu/esco/isco/C1346;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/ceda53cd-3f1f-425b-bd1b-c4fa17254680;Filiaalhouders op het gebied van financiële en verzekeringsdiensten;manager pensioenverzekeringen
http://data.europa.eu/esco/isco/C3331;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/39803100-c338-4f01-ad2c-085d488920ca;Inklaringsagenten en expediteurs;expediteur
http://data.europa.eu/esco/isco/C3521;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/fe4a72af-6206-4d86-90c1-b5fb4b5ba2b2;Radio- en televisietechnici en audiovisueel technici;zendtechnicus
http://data.europa.eu/esco/isco/C3118;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/a4869ae9-2dfe-48cc-bd97-f803880f3407;Technisch tekenaars;technisch tekenaar
http://data.europa.eu/esco/isco/C2262;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/7c132147-428b-4ea3-87e1-70f7abb691ce;Apothekers;apotheker
http://data.europa.eu/esco/isco/C9121;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/15ab8475-549d-48a7-9d4a-5bb310015312;Personeel voor het wassen en strijken met de hand;medewerker linnenkamer
http://data.europa.eu/esco/isco/C3353;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/4d750b7f-f40d-447c-ba90-f5fb0ee9ef27;Ambtenaren: sociale dienst;medewerker sociale zekerheid
http://data.europa.eu/esco/isco/C4110;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/6c999fc7-c6b7-4ef3-a4b9-af124a1783a2;Administratieve medewerkers, algemeen;kantoorbediende
http://data.europa.eu/esco/isco/C0110;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90;Officieren;officier zeedienst
http://data.europa.eu/esco/isco/C2161;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b;Architecten van gebouwen;architect
http://data.europa.eu/esco/isco/C9411;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/a02a1117-212f-4a49-b21a-d3b971e00e48;Bereiders van fastfood;pizzaiolo
http://data.europa.eu/esco/isco/C9334;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/d35f9e79-5778-43b4-8667-0e3ba1fcb19a;Schappenvullers;schappenvuller
http://data.europa.eu/esco/isco/C2359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/abab3d6a-82b9-49bd-8a4b-7bc678130558;Onderwijsgevenden, niet elders geclassificeerd;studieadviseur hoger onderwijs
http://data.europa.eu/esco/isco/C2359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/653374a9-a96e-4c5b-849f-62ae67b0ed62;Onderwijsgevenden, niet elders geclassificeerd;gevangenisdocent
http://data.europa.eu/esco/isco/C2359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/4e82464b-e9d7-4d51-9116-294ab40c5169;Onderwijsgevenden, niet elders geclassificeerd;ondersteunend technoloog
http://data.europa.eu/esco/isco/C2359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/21f4eb29-f6e5-4623-acb9-f3ff9c2f525d;Onderwijsgevenden, niet elders geclassificeerd;coach spreken in het openbaar
http://data.europa.eu/esco/isco/C2359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/20786e6d-36f0-4d1e-b033-05101fa71f3c;Onderwijsgevenden, niet elders geclassificeerd;beoordelaar van eerdere leerervaring
http://data.europa.eu/esco/isco/C2359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/ec5b72d1-0206-4179-9abd-570c66bc44b9;Onderwijsgevenden, niet elders geclassificeerd;e-learning developer
http://data.europa.eu/esco/isco/C2359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/a9c30651-ccbc-4a80-900c-7880615cdf6e;Onderwijsgevenden, niet elders geclassificeerd;instructional designer
http://data.europa.eu/esco/isco/C2359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/6afe39e2-2674-45db-b05c-a6cab02fe25b;Onderwijsgevenden, niet elders geclassificeerd;leraar volwassenenonderwijs
http://data.europa.eu/esco/isco/C2359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/a6517365-211c-456d-aca4-1a0115c7b1e1;Onderwijsgevenden, niet elders geclassificeerd;e-learningarchitect
http://data.europa.eu/esco/isco/C2359;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/6e1b1bd7-9eec-4f10-bce7-94a27d9023e8;Onderwijsgevenden, niet elders geclassificeerd;toelatingscoördinator
