head;relation;tail
miscellaneous food preparation and serving related workers;broadMatch;other food preparation and serving related workers
miscellaneous food preparation and serving related workers;narrowMatch;food preparation and serving related workers, all other
food preparation and serving related workers, all other;broadMatch;miscellaneous food preparation and serving related workers
building and grounds cleaning and maintenance occupations;narrowMatch;supervisors of building and grounds cleaning and maintenance workers
supervisors of building and grounds cleaning and maintenance workers;broadMatch;building and grounds cleaning and maintenance occupations
building and grounds cleaning and maintenance occupations;narrowMatch;building cleaning and pest control workers
building cleaning and pest control workers;broadMatch;building and grounds cleaning and maintenance occupations
building and grounds cleaning and maintenance occupations;narrowMatch;grounds maintenance workers
grounds maintenance workers;broadMatch;building and grounds cleaning and maintenance occupations
food servers, nonrestaurant;broadMatch;food and beverage serving workers
grounds maintenance workers;narrowMatch;tree trimmers and pruners
miscellaneous protective service workers;narrowMatch;school bus monitors
miscellaneous protective service workers;narrowMatch;transportation security screeners
miscellaneous first-line supervisors, protective service workers;broadMatch;supervisors of protective service workers
first-line supervisors of law enforcement workers;narrowMatch;first-line supervisors of correctional officers
first-line supervisors of correctional officers;broadMatch;first-line supervisors of law enforcement workers
first-line supervisors of law enforcement workers;narrowMatch;first-line supervisors of police and detectives
first-line supervisors of police and detectives;broadMatch;first-line supervisors of law enforcement workers
miscellaneous first-line supervisors, protective service workers;narrowMatch;first-line supervisors of security workers
first-line supervisors of security workers;broadMatch;miscellaneous first-line supervisors, protective service workers
supervisors of protective service workers;narrowMatch;miscellaneous first-line supervisors, protective service workers
miscellaneous first-line supervisors, protective service workers;narrowMatch;first-line supervisors of protective service workers, all other
firefighting and prevention workers;narrowMatch;firefighters
firefighters;broadMatch;firefighting and prevention workers
firefighting and prevention workers;narrowMatch;fire inspectors
fire inspectors;broadMatch;firefighting and prevention workers
fire inspectors;narrowMatch;fire inspectors and investigators
fire inspectors and investigators;broadMatch;fire inspectors
fire inspectors;narrowMatch;forest fire inspectors and prevention specialists
first-line supervisors of protective service workers, all other;broadMatch;miscellaneous first-line supervisors, protective service workers
first-line supervisors of firefighting and prevention workers;broadMatch;supervisors of protective service workers
supervisors of protective service workers;narrowMatch;first-line supervisors of firefighting and prevention workers
first-line supervisors of law enforcement workers;broadMatch;supervisors of protective service workers
miscellaneous healthcare support occupations;narrowMatch;phlebotomists
phlebotomists;broadMatch;miscellaneous healthcare support occupations
miscellaneous healthcare support occupations;narrowMatch;healthcare support workers, all other
healthcare support workers, all other;broadMatch;miscellaneous healthcare support occupations
healthcare support workers, all other;narrowMatch;speech-language pathology assistants
speech-language pathology assistants;broadMatch;healthcare support workers, all other
healthcare support workers, all other;narrowMatch;endoscopy technicians
endoscopy technicians;broadMatch;healthcare support workers, all other
protective service occupations;narrowMatch;supervisors of protective service workers
supervisors of protective service workers;broadMatch;protective service occupations
protective service occupations;narrowMatch;firefighting and prevention workers
firefighting and prevention workers;broadMatch;protective service occupations
protective service occupations;narrowMatch;law enforcement workers
law enforcement workers;broadMatch;protective service occupations
protective service occupations;narrowMatch;other protective service workers
